maths,phy,chem,mech,bee,workshop,cgpa,sgpa
23,15,36,11,17,42,2,2
61,34,42,44,83,42,7,7
62,25,24,29,45,30,4,4
31,32,46,66,70,42,6,6
89,47,47,79,79,42,9,9
59,48,47,62,58,42,7,7
58,47,46,58,56,42,7,7
58,65,58,78,92,44,9,9
78,39,42,56,64,42,7,7
66,54,44,86,73,43,8,8
62,54,54,87,66,42,8,8
71,35,45,81,50,43,8,8
91,62,68,90,85,42,10,10
95,63,60,90,76,46,9,9
95,45,61,92,98,42,9,9
53,45,41,60,61,42,7,7
71,38,36,61,56,43,7,7
71,42,47,62,46,42,7,7
92,61,62,89,92,42,10,10
64,41,44,65,73,42,7,7
27,13,22,21,26,44,2,2
66,19,47,62,60,44,7,7
65,57,48,81,86,42,9,9
67,48,50,82,82,42,8,8
70,46,50,71,66,42,8,8
78,52,57,65,61,42,8,8
75,55,62,65,75,43,8,8
45,40,27,30,15,42,4,4
55,30,41,49,58,42,6,6
90,63,62,78,72,45,9,9
87,72,62,90,90,42,10,10
60,40,49,69,50,43,7,7
76,60,50,78,90,42,9,9
66,57,51,73,58,42,8,8
68,38,51,80,63,42,8,8
81,51,61,92,77,44,9,9
57,35,48,57,64,42,7,7
62,34,33,72,47,42,6,6
29,35,35,46,31,42,4,4
74,54,61,54,80,44,8,8
60,36,46,79,59,43,7,7
51,53,45,71,49,42,7,7
80,45,50,73,66,43,8,8
45,13,30,32,8,42,3,3
65,47,48,49,65,42,7,7
99,50,61,92,72,43,9,9
60,57,44,58,46,42,7,7
31,18,38,41,24,42,3,3
33,45,42,61,25,43,5,5
49,47,34,58,52,42,6,6
48,48,54,67,60,43,7,7
82,50,38,68,54,42,7,7
32,40,35,62,33,44,4,4
66,49,51,79,70,37,8,8
87,61,47,50,78,43,8,8
48,18,40,49,37,42,4,4
58,22,47,59,57,43,6,6
31,10,21,24,30,44,2,2
44,32,34,53,32,43,4,4
53,58,59,83,74,43,8,8
31,22,33,31,20,42,2,2
72,33,34,50,55,43,7,7
67,41,52,71,74,44,7,7
75,38,52,48,72,43,7,7
51,42,46,63,57,43,7,7
42,31,33,52,19,42,4,4
59,42,37,77,84,43,8,8
65,36,43,67,48,45,7,7
77,50,53,58,62,42,7,7
60,31,34,47,57,43,6,6
67,33,23,57,64,43,6,6
80,40,58,60,69,44,8,8
77,34,61,65,54,44,7,7
57,30,38,43,48,43,5,5
52,30,40,67,57,42,6,6
30,16,44,20,42,42,3,3
71,45,59,50,44,43,7,7
71,25,37,71,69,42,6,6
49,34,40,41,44,42,5,5
11,20,24,26,46,42,2,2
51,24,33,47,44,42,5,5
70,41,62,67,76,43,8,8
95,56,67,78,82,44,9,9
68,46,54,64,66,43,7,7
40,30,38,52,44,43,5,5
53,42,65,42,47,43,6,6
51,45,49,40,52,42,6,6
49,38,37,58,45,45,6,6
44,16,38,41,22,44,3,3
92,55,68,83,91,45,9,9
51,42,56,73,62,45,7,7
43,41,42,47,45,42,5,5
44,21,47,59,46,44,5,5
52,45,60,55,66,42,7,7
52,36,44,51,56,42,6,6
43,56,48,80,87,45,7,7
51,43,50,68,66,44,7,7
81,56,62,78,65,43,8,8
85,61,51,73,86,44,9,9
21,20,33,18,21,42,2,2
70,40,36,79,76,43,8,8
79,42,54,81,80,42,9,9
69,51,53,83,73,44,8,8
71,57,54,65,79,45,8,8
60,45,46,74,64,43,7,7
50,35,51,35,48,44,6,6
31,32,35,27,34,43,3,3
72,44,53,65,61,43,8,8
36,38,38,52,51,43,6,6
51,30,39,48,57,42,6,6
69,35,53,84,69,43,8,8
27,14,37,25,23,45,2,2
47,19,36,17,28,45,3,3
60,47,59,92,79,43,8,8
46,31,41,73,65,42,6,6
43,16,28,42,33,43,3,3
57,36,52,64,82,43,7,7
52,47,48,56,54,43,7,7
55,50,58,75,81,43,8,8
62,39,50,76,66,42,7,7
87,59,55,73,77,42,8,8
58,38,42,48,68,45,7,7
71,58,51,60,47,42,7,7
63,42,54,77,71,43,8,8
63,55,63,72,87,44,8,8
55,30,42,40,58,40,5,5
51,45,56,70,74,44,7,7
56,32,44,47,34,43,5,5
62,58,39,71,71,42,8,8
75,33,47,56,66,44,7,7
83,47,60,77,92,45,9,9
45,35,48,58,40,41,5,5
55,34,54,72,81,43,7,7
69,42,50,58,89,42,8,8
58,33,36,45,53,43,6,6
64,65,50,65,85,43,8,8
81,56,64,92,77,42,9,9
51,40,39,64,51,42,7,7
82,50,53,88,71,44,9,9
75,38,42,68,79,43,8,8
73,35,38,71,53,42,7,7
62,42,44,75,49,44,7,7
51,57,67,91,69,44,8,8
55,36,52,65,64,43,6,6
71,67,70,85,84,45,9,9
78,42,59,66,69,45,8,8
82,54,64,73,85,44,9,9
48,51,52,71,53,43,7,7
74,36,53,59,61,42,7,7
73,48,55,64,85,44,8,8
75,51,58,83,65,42,8,8
81,37,55,73,83,44,8,8
45,19,35,29,38,43,3,3
71,56,49,69,71,46,8,8
74,48,58,89,76,42,8,8
78,45,54,70,73,43,8,8
54,36,53,75,84,44,8,8
21,32,35,42,53,42,5,5
60,50,45,63,54,42,7,7
69,42,53,74,66,43,8,8
25,9,27,32,19,42,1,1
68,46,46,51,62,43,7,7
77,59,61,71,71,43,8,8
91,63,65,86,79,45,9,9
26,17,27,41,35,42,3,3
53,46,49,46,29,45,6,6
61,54,52,64,51,46,7,7
55,42,57,71,56,43,7,7
65,50,61,70,55,44,8,8
80,42,48,77,53,42,8,8
72,52,61,85,81,42,9,9
58,39,37,43,48,45,6,6
33,31,33,30,50,43,3,3
74,36,56,53,51,41,7,7
61,43,49,82,85,44,8,8
66,48,51,84,66,42,8,8
42,24,36,42,30,43,3,3
62,32,34,56,66,40,6,6
74,57,54,78,93,43,9,9
84,55,59,67,81,42,9,9
67,52,45,76,69,44,8,8
74,47,57,61,83,42,8,8
58,55,46,84,82,42,8,8
53,38,26,66,57,42,6,6
44,31,30,24,24,43,3,3
88,60,58,67,75,45,9,9
61,43,44,70,51,44,7,7
74,51,63,54,75,43,8,8
98,50,51,86,62,42,8,8
44,33,39,66,52,44,6,6
56,48,60,84,90,44,9,9
54,41,51,73,53,43,7,7
51,41,40,89,69,43,7,7
80,46,65,64,71,44,8,8
60,36,51,65,58,44,7,7
79,61,55,89,89,44,9,9
53,43,60,54,46,44,5,5
82,62,63,66,85,43,9,9
73,37,49,83,79,42,8,8
36,37,43,51,49,43,5,5
62,66,47,70,65,41,8,8
38,58,45,49,72,44,6,6
79,53,56,79,83,42,9,9
72,30,35,48,52,43,6,6
81,47,61,63,68,45,8,8
43,21,31,35,24,45,3,3
45,27,31,40,19,43,4,4
71,57,59,67,78,42,8,8
52,32,33,55,62,45,6,6
32,22,33,43,27,43,3,3
46,38,44,40,51,43,6,6
95,44,49,66,85,42,8,8
86,45,50,69,55,44,8,8
76,61,58,77,81,42,9,9
77,51,56,56,76,45,8,8
55,33,52,57,43,42,5,5
66,57,51,53,50,44,7,7
28,19,23,21,16,42,2,2
52,48,46,35,32,43,4,4
42,18,33,34,25,42,3,3
14,9,24,13,17,40,2,2
29,35,32,40,64,41,5,5
45,32,49,49,41,43,6,6
46,33,18,16,18,42,3,3
39,35,37,53,34,41,4,4
29,38,36,41,44,37,4,4
78,53,59,80,65,44,9,9
43,47,53,30,52,43,5,5
65,40,56,70,65,42,8,8
76,40,35,55,56,40,7,7
65,40,54,47,53,42,7,7
40,39,35,23,19,43,4,4
80,58,61,56,80,44,9,9
26,8,21,3,12,39,2,2
50,49,39,47,71,44,7,7
43,17,19,6,15,44,3,3
73,46,58,81,71,44,8,8
54,40,36,22,24,37,4,4
54,56,62,50,51,45,7,7
52,42,57,46,27,43,6,6
71,38,44,45,37,37,5,5
68,34,43,57,48,44,6,6
63,45,52,49,33,42,6,6
89,50,58,58,72,44,8,8
60,56,55,54,75,44,8,8
45,13,39,40,21,42,4,4
40,33,33,41,38,41,5,5
31,21,28,18,14,39,2,2
31,27,41,20,24,42,3,3
73,41,52,76,79,41,8,8
18,22,33,28,13,42,3,3
69,51,69,63,59,44,8,8
59,35,37,53,60,45,7,7
42,44,50,53,39,42,5,5
53,51,49,53,60,40,7,7
38,32,38,28,21,34,2,2
75,34,48,46,59,41,7,7
49,27,39,48,32,32,4,4
55,17,35,53,26,35,4,4
34,33,41,40,45,35,5,5
52,44,42,56,65,40,6,6
78,52,59,77,55,44,8,8
39,35,46,41,48,41,6,6
76,64,72,79,55,44,9,9
92,64,41,88,73,45,9,9
41,31,32,24,18,41,4,4
48,32,33,32,41,40,4,4
79,43,44,40,33,45,6,6
33,31,47,41,54,43,5,5
81,69,62,66,54,43,8,8
31,45,41,22,46,41,5,5
4,12,16,22,13,35,2,2
18,34,28,22,23,34,2,2
28,34,37,40,39,34,3,3
54,53,54,32,47,44,6,6
29,35,38,51,46,40,5,5
45,40,34,43,32,39,4,4
33,12,38,41,14,44,3,3
61,38,53,47,53,45,7,7
85,54,61,73,51,43,8,8
42,38,38,53,42,42,6,6
60,41,47,59,60,45,7,7
67,66,56,84,82,37,9,9
41,55,51,51,78,41,6,6
68,55,56,67,63,44,8,8
14,30,31,8,42,42,4,4
38,55,42,56,60,42,6,6
77,67,65,60,58,36,8,8
49,40,36,52,50,43,6,6
19,17,20,19,11,41,2,2
22,20,33,28,25,36,2,2
50,32,42,42,45,42,6,6
63,47,45,55,50,42,7,7
42,33,24,40,31,42,3,3
29,34,35,42,44,35,4,4
60,46,59,45,46,44,7,7
65,41,40,41,27,45,5,5
64,36,59,40,28,42,5,5
55,35,29,41,40,41,4,4
45,41,34,41,45,42,6,6
70,37,55,55,50,43,7,7
58,42,38,43,40,41,6,6
59,32,55,57,48,42,6,6
84,62,62,74,63,44,9,9
75,63,41,55,64,42,8,8
53,54,50,50,50,44,7,7
49,42,55,51,47,44,6,6
60,47,62,36,47,43,6,6
45,12,21,15,16,40,2,2
63,34,38,42,30,35,5,5
53,40,47,73,63,42,7,7
19,30,40,9,23,39,3,3
93,66,67,70,67,44,9,9
54,36,35,32,30,42,4,4
42,35,38,43,30,34,4,4
38,43,42,35,50,42,5,5
62,56,65,84,73,44,8,8
43,21,18,20,28,41,3,3
27,21,25,40,30,40,3,3
56,31,43,27,26,45,4,4
32,14,32,30,28,35,2,2
55,43,44,83,58,40,7,7
42,34,46,49,38,37,5,5
50,38,50,42,40,37,6,6
44,16,37,40,40,32,4,4
19,22,19,37,31,40,2,2
47,34,33,40,45,37,5,5
70,53,60,48,39,44,7,7
45,41,34,28,43,45,5,5
58,32,34,40,48,40,6,6
47,48,47,64,35,40,6,6
65,36,36,54,49,35,6,6
63,36,40,72,45,38,7,7
64,50,55,64,65,44,7,7
49,47,48,43,45,44,6,6
39,18,20,13,21,37,1,1
45,25,37,24,22,38,3,3
63,60,59,53,49,42,7,7
40,40,54,57,48,43,6,6
34,30,32,25,18,33,3,3
59,42,49,44,47,40,6,6
50,33,25,28,19,41,4,4
66,50,41,77,66,43,8,8
23,21,27,22,18,42,2,2
65,38,41,51,54,42,7,7
43,30,41,38,49,41,5,5
67,47,49,80,69,42,8,8
46,36,38,30,13,42,4,4
30,11,18,20,30,40,2,2
80,58,39,34,65,40,7,7
35,34,34,66,28,40,5,5
54,49,47,66,76,40,8,8
46,37,51,40,41,40,6,6
54,36,43,27,31,41,5,5
64,72,60,74,61,42,8,8
30,17,36,30,36,41,3,3
70,49,37,51,33,41,6,6
32,37,36,52,28,42,4,4
63,58,69,65,71,42,8,8
48,33,33,33,46,43,5,5
47,33,40,30,44,39,5,5
57,25,49,44,55,42,6,6
70,53,50,52,61,43,7,7
69,34,48,24,28,42,5,5
43,19,20,30,19,33,3,3
25,27,30,42,24,27,3,3
80,46,52,87,69,41,8,8
42,17,36,31,19,41,3,3
27,17,30,15,17,35,2,2
38,27,50,46,50,41,5,5
60,46,58,60,55,41,7,7
30,25,31,41,21,41,3,3
36,11,18,10,17,35,2,2
56,46,51,48,45,41,6,6
48,27,39,49,55,41,5,5
35,34,34,52,49,40,5,5
58,58,52,58,47,38,7,7
33,37,56,28,31,42,3,3
50,60,42,50,47,39,7,7
63,37,48,59,74,39,7,7
43,34,33,21,28,41,4,4
63,40,46,56,47,43,7,7
83,38,54,48,74,41,8,8
63,54,50,71,55,41,7,7
47,44,41,42,25,42,5,5
52,38,38,61,53,41,7,7
51,47,43,48,48,35,6,6
51,44,26,54,35,34,5,5
49,37,48,46,47,40,6,6
51,53,47,57,61,42,7,7
56,47,39,56,37,44,6,6
32,35,34,33,20,32,3,3
51,40,49,54,61,42,7,7
31,35,36,56,50,39,5,5
63,44,49,55,53,40,7,7
31,15,30,40,25,35,3,3
27,33,36,43,29,35,4,4
41,10,30,7,25,41,3,3
91,57,47,65,72,42,8,8
40,22,31,28,43,40,4,4
40,19,19,40,26,42,3,3
44,21,23,35,46,34,3,3
36,21,34,46,20,44,3,3
49,44,54,60,60,41,7,7
54,21,31,23,34,36,4,4
30,48,34,70,47,41,6,6
44,35,35,38,36,34,4,4
12,19,34,30,5,38,3,3
25,21,28,12,18,39,2,2
50,39,45,24,49,34,5,5
28,37,40,43,50,35,5,5
59,57,42,74,64,42,7,7
70,35,43,50,47,39,7,7
36,33,48,28,28,38,3,3
49,48,40,52,58,35,6,6
67,34,46,59,58,43,7,7
53,50,55,42,26,34,5,5
34,16,32,16,42,41,3,3
54,35,42,58,41,39,6,6
45,43,47,52,48,40,6,6
62,64,57,60,55,42,8,8
78,49,50,65,45,41,7,7
62,58,49,65,34,39,6,6
43,23,34,43,44,44,5,5
11,25,30,10,15,40,2,2
3,7,8,13,3,30,1,1
88,38,47,71,52,36,7,7
59,41,52,54,33,41,6,6
51,37,41,60,33,41,6,6
60,33,31,57,42,36,6,6
48,36,43,43,37,37,5,5
65,20,34,74,51,35,6,6
42,38,44,48,44,40,5,5
80,46,47,71,74,43,8,8
47,39,49,49,55,38,6,6
48,36,31,42,48,36,5,5
50,40,57,41,36,42,6,6
41,38,33,43,20,31,4,4
42,32,25,29,11,37,3,3
72,56,53,63,70,41,8,8
52,52,45,69,51,27,7,7
48,38,32,49,35,44,5,5
42,33,33,30,26,29,3,3
57,46,47,56,47,36,7,7
58,46,41,52,28,39,6,6
76,42,55,73,65,41,8,8
67,47,51,63,60,35,7,7
58,37,32,60,44,43,6,6
79,58,59,55,62,41,8,8
57,33,33,65,46,32,6,6
32,31,21,23,17,38,3,3
71,50,56,80,58,43,8,8
52,57,40,50,46,39,7,7
76,67,64,88,61,43,9,9
72,35,45,66,59,39,7,7
25,31,31,34,20,34,3,3
52,41,50,53,38,43,6,6
30,32,20,23,19,30,2,2
55,46,57,56,50,38,7,7
49,33,34,44,44,38,5,5
59,44,51,63,45,39,7,7
30,31,19,43,11,30,3,3
52,49,35,59,70,34,7,7
72,42,34,49,55,44,7,7
33,24,41,29,33,41,3,3
59,51,53,75,64,40,8,8
29,36,38,45,19,42,4,4
61,43,36,61,47,33,6,6
79,39,54,87,51,38,8,8
50,48,68,50,62,43,7,7
77,53,44,80,68,39,8,8
24,8,46,13,22,42,3,3
57,32,37,49,50,40,5,5
42,30,30,27,36,41,3,3
56,43,35,62,75,44,7,7
77,43,53,70,65,38,8,8
91,35,36,76,60,43,8,8
59,52,55,73,51,44,7,7
61,50,54,77,78,45,8,8
69,40,39,51,45,33,6,6
66,48,45,58,84,42,8,8
61,42,59,78,82,43,8,8
54,29,31,59,45,35,5,5
87,63,58,65,71,41,8,8
30,17,42,24,12,34,2,2
68,45,39,23,55,35,5,5
51,32,32,50,35,38,5,5
73,41,63,58,35,38,6,6
80,54,60,83,84,43,9,9
60,36,29,47,12,31,3,3
80,64,64,79,80,46,9,9
85,64,49,87,75,38,9,9
89,43,57,88,56,43,8,8
26,35,32,27,20,31,3,3
57,34,32,67,48,38,6,6
41,40,49,73,53,42,7,7
94,55,71,75,66,39,9,9
85,56,61,67,68,33,8,8
88,62,55,80,80,45,9,9
65,51,48,48,61,41,7,7
72,37,50,67,73,39,7,7
53,31,48,52,62,37,6,6
49,30,41,45,51,38,6,6
48,22,41,42,65,35,5,5
88,65,68,100,95,40,10,10
87,48,46,81,66,33,8,8
82,65,65,77,66,40,9,9
83,57,42,71,85,40,8,8
78,47,61,71,91,36,9,9
57,55,60,73,52,40,7,7
97,64,59,87,66,41,9,9
41,26,35,28,35,40,3,3
91,49,67,82,58,44,8,8
91,62,66,73,81,34,9,9
49,60,55,68,74,42,8,8
74,62,73,83,76,39,9,9
75,56,54,75,82,35,8,8
44,30,40,42,9,32,2,2
50,36,44,49,46,40,6,6
49,31,47,66,34,35,5,5
68,52,54,75,54,41,8,8
70,42,39,72,30,40,6,6
56,31,32,48,46,33,5,5
52,32,41,44,59,37,6,6
56,34,47,62,48,35,6,6
26,32,44,40,40,41,4,4
89,60,43,78,80,37,8,8
83,34,38,54,67,33,7,7
66,41,65,78,59,36,7,7
59,34,54,74,39,41,6,6
59,36,56,84,74,30,7,7
33,42,58,63,48,38,6,6
93,65,70,88,72,41,9,9
63,69,59,77,57,42,8,8
76,43,24,69,89,36,7,7
72,59,63,77,74,38,8,8
75,49,55,60,72,43,8,8
65,68,62,82,69,37,8,8
73,62,50,49,59,41,7,7
82,53,50,66,77,44,8,8
65,31,48,58,67,33,6,6
59,23,26,58,38,32,3,3
73,63,55,72,68,39,8,8
60,54,62,51,63,42,7,7
77,37,53,46,52,42,7,7
67,69,72,83,87,34,9,9
43,40,51,60,37,40,5,5
77,60,58,67,78,43,9,9
89,63,59,82,86,34,9,9
83,50,60,85,76,41,9,9
42,51,48,33,13,40,4,4
73,44,60,72,73,30,7,7
54,31,46,49,44,34,5,5
82,54,67,88,75,41,9,9
96,57,55,58,78,39,8,8
99,51,61,98,78,42,9,9
74,40,43,67,60,36,7,7
69,51,54,73,48,44,7,7
79,56,59,71,73,36,8,8
38,12,30,24,24,36,2,2
68,27,24,43,22,32,3,3
21,18,31,24,26,32,2,2
71,44,46,53,30,31,5,5
72,32,36,71,49,44,7,7
50,16,42,58,46,20,4,4
60,47,41,78,71,45,8,8
74,53,54,76,68,39,8,8
51,43,60,61,58,32,7,7
56,47,33,67,41,44,6,6
21,7,27,27,26,32,1,1
87,52,52,66,63,40,7,7
91,54,59,65,61,43,8,8
68,49,50,66,53,33,6,6
67,53,57,90,75,41,8,8
59,31,46,57,68,40,7,7
81,40,46,64,81,35,8,8
78,52,55,92,72,39,8,8
75,69,63,92,94,42,9,9
69,54,50,71,76,44,8,8
73,55,58,76,79,41,8,8
90,54,52,87,63,37,8,8
99,62,62,85,83,44,10,10
58,33,50,35,57,31,6,6
84,51,57,62,54,33,8,8
84,60,65,84,53,43,9,9
86,58,66,71,70,37,8,8
97,61,69,81,82,37,9,9
72,54,52,77,84,39,8,8
29,37,52,46,48,38,4,4
91,64,58,82,65,41,9,9
55,37,53,62,55,36,6,6
75,55,59,74,56,41,8,8
56,49,48,64,60,39,7,7
42,37,53,55,32,34,5,5
92,53,63,90,88,38,9,9
68,39,45,88,62,37,7,7
85,48,59,64,59,36,8,8
91,70,57,68,70,44,9,9
76,41,47,56,61,41,7,7
78,61,54,81,91,36,9,9
58,39,52,79,46,38,7,7
40,36,35,42,46,38,5,5
77,46,54,71,70,42,8,8
41,35,64,67,66,42,6,6
83,70,58,75,64,34,9,9
87,61,74,66,75,43,9,9
72,42,50,59,34,42,6,6
92,36,54,65,59,28,7,7
49,31,43,46,42,38,5,5
46,42,48,44,46,38,6,6
45,21,38,33,37,36,3,3
48,31,36,48,45,30,5,5
88,58,59,96,64,42,9,9
92,63,58,93,80,43,9,9
96,64,60,82,76,44,9,9
34,30,22,25,20,39,2,2
63,51,44,52,19,33,6,6
77,34,41,64,75,42,7,7
71,65,62,61,32,43,7,7
61,33,40,52,51,40,6,6
64,52,56,88,68,33,8,8
74,33,51,72,68,44,7,7
67,33,48,60,40,41,7,7
72,63,50,64,48,45,7,7
53,48,60,72,65,33,7,7
85,66,72,95,84,35,9,9
49,52,56,66,63,39,7,7
72,66,53,84,70,41,9,9
89,51,59,76,84,44,9,9
79,67,59,89,84,42,9,9
76,54,59,63,40,31,6,6
55,50,46,93,50,35,7,7
68,60,59,82,69,41,8,8
61,35,47,67,48,42,7,7
46,47,40,60,49,33,6,6
64,28,43,64,75,30,6,6
70,45,50,49,51,38,7,7
66,57,57,54,70,43,8,8
70,54,63,80,63,35,8,8
89,52,61,75,73,40,9,9
78,48,63,72,53,37,8,8
85,51,53,74,74,37,8,8
56,56,60,62,58,34,7,7
54,48,51,73,67,41,7,7
84,32,41,62,64,37,6,6
56,43,53,88,79,40,8,8
90,52,51,84,68,36,8,8
94,58,57,86,59,32,8,8
69,41,57,66,72,45,8,8
90,57,55,89,74,40,9,9
45,52,54,67,55,39,7,7
88,56,56,94,79,43,9,9
78,49,63,66,62,38,8,8
41,32,45,31,30,32,3,3
42,32,51,40,60,32,5,5
51,37,50,36,46,39,6,6
53,35,36,45,45,41,6,6
60,48,52,64,59,42,7,7
58,51,56,60,54,34,7,7
48,33,58,40,48,41,5,5
62,38,47,71,47,29,6,6
58,53,61,85,47,40,8,8
69,66,66,63,76,42,8,8
58,42,55,60,60,40,7,7
64,50,57,65,66,45,8,8
45,30,42,47,63,31,4,4
63,35,58,59,69,38,7,7
52,53,57,51,69,34,7,7
64,45,54,78,81,42,8,8
40,29,38,40,41,31,4,4
80,46,62,74,78,41,9,9
40,40,44,43,31,41,5,5
46,30,32,35,22,42,3,3
48,34,42,51,48,38,6,6
45,32,48,47,25,37,5,5
66,46,56,80,53,29,7,7
48,44,48,76,56,33,7,7
49,51,53,65,59,38,7,7
48,33,39,47,51,39,6,6
57,39,50,52,63,42,7,7
18,28,20,23,5,33,2,2
0,0,3,2,0,20,0,0
55,36,60,51,53,42,7,7
69,32,53,60,58,45,7,7
55,13,22,62,44,37,5,5
40,40,54,62,46,34,6,6
83,57,67,86,73,34,9,9
66,56,53,85,73,45,8,8
29,35,41,55,40,35,4,4
81,52,68,94,83,41,9,9
20,4,24,6,30,23,1,1
40,37,40,40,40,42,5,5
81,51,53,62,53,38,8,8
61,57,69,84,84,45,9,9
90,58,61,90,59,37,9,9
88,52,54,94,73,32,8,8
85,55,54,87,76,37,9,9
49,45,62,60,61,33,7,7
47,57,55,80,55,32,7,7
45,20,40,51,48,34,5,5
43,19,34,71,46,37,6,6
76,49,66,80,53,40,8,8
23,3,13,17,1,41,2,2
43,30,42,50,63,43,6,6
51,39,53,73,52,41,7,7
53,31,42,50,68,40,6,6
62,40,43,51,42,31,6,6
34,43,27,47,52,44,5,5
42,36,45,45,47,44,6,6
82,50,58,63,52,45,8,8
75,61,57,80,61,42,9,9
61,44,37,58,51,44,7,7
59,55,65,46,62,41,7,7
27,13,20,36,23,43,2,2
29,31,49,57,23,37,4,4
57,41,48,62,75,44,7,7
57,34,26,65,39,32,4,4
36,21,25,37,9,39,2,2
59,40,52,76,58,42,7,7
53,41,54,60,47,43,7,7
63,53,43,75,61,37,7,7
71,57,73,81,79,41,9,9
52,45,51,74,62,44,7,7
50,24,40,80,45,39,5,5
63,55,62,73,66,46,8,8
78,44,64,76,52,40,8,8
71,56,55,62,60,39,8,8
68,50,67,85,73,43,8,8
44,17,44,51,63,35,5,5
67,50,56,63,42,45,6,6
61,37,45,59,45,36,6,6
63,43,55,80,70,46,8,8
76,34,52,50,46,41,7,7
67,58,71,77,60,45,8,8
47,29,40,45,32,36,4,4
64,22,22,87,26,41,5,5
62,40,50,52,27,43,6,6
64,28,34,55,53,35,6,6
71,38,45,72,47,42,7,7
77,55,59,77,72,42,8,8
84,63,51,63,67,33,8,8
82,60,49,89,64,41,9,9
44,36,52,54,47,39,6,6
58,44,54,59,66,38,7,7
25,28,38,23,16,42,2,2
64,47,36,64,46,34,6,6
30,13,31,40,19,28,2,2
61,61,64,56,62,40,8,8
51,38,56,59,41,41,6,6
75,59,56,84,82,41,9,9
87,41,50,58,61,43,8,8
75,52,60,63,59,42,8,8
48,56,58,53,72,43,7,7
34,20,25,21,11,33,2,2
50,37,37,61,23,42,5,5
68,52,49,74,61,36,7,7
69,41,39,60,49,39,7,7
90,49,54,71,77,35,8,8
25,19,31,52,25,20,3,3
62,41,49,57,61,38,7,7
56,41,59,58,45,35,7,7
71,63,72,84,78,44,9,9
58,64,60,76,83,37,9,9
25,42,44,27,53,39,4,4
36,51,45,63,49,41,6,6
51,39,51,57,58,39,7,7
47,38,54,35,54,37,5,5
78,43,59,80,72,40,8,8
53,37,37,83,45,32,6,6
57,39,41,61,63,35,7,7
63,53,60,64,38,41,7,7
54,49,39,66,53,40,6,6
72,47,62,80,74,41,8,8
54,44,41,79,58,40,7,7
81,58,60,76,52,41,9,9
48,55,49,54,70,41,7,7
42,28,45,45,43,34,5,5
51,30,48,52,32,35,5,5
83,36,42,56,45,43,7,7
64,48,53,55,58,41,7,7
41,14,32,30,28,35,3,3
